Column,Required,Type,Description
Ref,yes,string,Unique schematic designator
LibraryRef,yes,string,Symbol name in Altium library
SourceLibrary,conditional,string,SchLib or IntLib path/name
PartID,no,integer,Multipart symbol unit number
X,no,number,Placement X coordinate
Y,no,number,Placement Y coordinate
Rotation,no,integer,0 90 180 or 270
Mirror,no,boolean,Mirror symbol
Value,no,string,Displayed component value
Footprint,no,string,PCB footprint
Channel,no,string,Logical channel name
Place,no,boolean,Whether to place if missing
